address,return on Kusama per era,standard deviation of return
Cvzb8Kjs7SJBbx8oXDJzm9Um5jjqxo22QSyXLijmiGhEAKH,0,0
GAfhRsNqB9hwEmRFPhMZCvicFJ1kVtRF3UChYyKHq612ZV9,0,0.00E+00
EkzrzBghRwwupzkZUbZE2TAFT59B1izLS3UDPW8GYPWA4JK,0,0
HTrpbES27bqMvCioQGHpmJbBzwji6V5DeuXUfB1gsZ5Vkh1,0,0
FDGCEYyHNh7u5Wx5UbC98aHXeaJ7J4TwQPK8YtEQPTjp1Cz,0,0.00E+00
J2HVhQBYpx5PkyxHYLsp555pvWzc2zvGfNUnTwgzvRqVGqm,0,0.00E+00
EZ7uBY7ZLohavWAugjTSUVVSABLfad77S6RQf4pDe3cV9q4,0,0
JHdYNJV7KnCBAs9cDHY6yAW2awkUARFwzg1bgiQxkpPZCpN,0,0
Gnw2Lsi8VwYZCkHmpjFHcQ3S357oFcfmCpW6rYQbri9UHxu,0,0
FX7rJbfiTFCqBuCWHLgR8SosDyZh842nv79mdQF4vxnZrhS,0,0
HSMw7gzJ5LjfpW4zjfm9NhXKLCFw8J7MDaoZtBcz5yoAbnF,0,0
Eodfj4xjkw8ZFLLSS5RfP6vCMw8aM6qfM7BfeQMf6ivFWHy,0,0.00E+00
H4V7fZJPLiGtBvQfsadb7oGfV1StiXJTuca76Daa449rz27,0,0
F8PTaGuZQo5fgRBFuhNnhd5euFiR3KLQNMVhYD5BduPKpHr,0,0
CgnJccYXCod7aQeeDRUGQMZ6yTDE9qVD8tWffgvFVETPdev,0,0
GFR16KpdcT1ykqN3j7RqMfywfUBoeCRf26hu8mPnBmFD4T5,0,0
JDA8ByXeJcn2BfNabC6WbBJKEBwM4k7oBVenVgJdzL32RJc,0,0
CriM9ADovQHPwgv3NF2v1ey6hCv9jTASpvmWy7zjEVycUoP,0,0.00E+00
Ft87fH3CNRZuBHCG2MDBV9uZsnrbvnpxdmYQ5iUxw1cDREF,0,0
Hv4RZ8zBpL4ovaSqnWMJ1YAbH9Rf2jpCQXWq4mtxQ9guCxC,0,0
Eg3bZatVC6aEnVnAjTiokiiECMH8dPVhw1vg5VB64VKgNrs,0,0
E5Qo7ZrDbgJeHGQ1hSRA7pwJV8YxSi6TNcvQg4aNDCZ91b2,0,0
Hadx1N8xZq6tRtXWkm6s5madXTXqVhauDNmesZnpMYTufcv,0,0
Ed1bKg6eEr1rmzhWTUHkAH5RWuyNP3Eh3QAnPR4znXsCpjG,0.01311771877,0.0009433814851
CzugcakidH54xfVbTQbjfAoikEhufSKxio5k76UaR4wfySm,0,0
Eyvj7oeaHyoqJbNPKPi3zjBks2bNoju3X29xJhsxD8d6GeQ,0,0
EzR9J3Afvash2tYCk8ZZwPYyq3zy92adVUXKcYjbYN46JWL,0.007199069559,0.0003242833207
HgWWnAXFGikrPVD2FrZ6CRk7KnYdVDn7zVyye8hqFPMc5g1,0,0
Dj2EYZ5dwqJhc4g8TKf5iQBGY5RRht4UXrT61vpvMQp3vWi,0,0
GweeXog8vdnDhjiBCLVvbE4NA4CPTFS3pdFFAFwgZzpUzKu,0,0
CinNnPhc4aGFQb7FWhUpnfwCNwXN3brcnCR1MkazkstcDJa,0,0
J6RoE9MSpnZhX7hniJAJjBCcTqpr49SNhLvaVeJgFd69TJZ,0,0
EafgFRX24PTgJAjGoaDuQLXQiLX4daSFQQttzGVticSD18o,0,0
FKJNhxaXraoh85DRvChSzoDKHMAk9cZYxoq5LQW7uqeAQMD,0,0
DFaiE6wT1caQ9u7eLkuphVQqbywWKzYjm5vRsMgk43GSb84,0,0
CvkEvSymWEa5ALqbFz4WLCnV1jBNCEKJXxEhwy3JD8v3TmU,0,0
HAGcVQikZmEEgBBaChwjTVdwdA53Qopg2AYUtqw738C5kUq,0,0
FpVmbKAqwoQaTBGwrTGsSu4nN1PCGY8XrQa4AaJVuzyVhh2,0,0
GTD41brzoewwwghQbX72LF2vPZYeEsghY3vJ9F8h6MszR8z,0,0
JHTXKwYBhRZKWPW3nbtwtfE8dfRDYCS65cJXueMhg11k4cs,0,0.00E+00
FRwDF6SNSCrbqtfHpoNVnYJrWcmsmrETeLiMVBjj59MeoY4,0,0
HcdW2utT6pK74WHgLMhLMadoUqqdtTLy9CzuYNXUVkb9SdN,0,0
J1aHBD7YQ3xnSwgFJNokjsEo7NjLTf36ZEHD2LTpeo7KAq8,0,0.00E+00
HKngUy7BwHmEJ9A2X9uQc3JC7ynYeuC4PGMAU9NeDEJxbbA,0,0
E457XaKbj2yTB2URy8N4UuzmyuFRkcdxYs67UvSgVr7HyFb,0,0
F2FafDtkrWCRF9r9YQFSvkp83LgtQ7MdZw7EgjrwU3bgCZr,0,0
GffdZaTf5oBcHVfx4VjnA6AMpHEBa3PiaBzTBUPkt24fUxp,0,0.00E+00
DimyMqRfrnqudRLVf5TxAM3T7X23PKvFDp85DDGabFKMQ2a,0,0
